Brand,Model,Year,Engine_CC,Power_BHP,Fuel_Type,Transmission,Owner_Type,KM_Driven,Price_USD
Toyota,Highlander,2020,1100,60.0,Petrol,Automatic,First,30815,15753.11
Chevrolet,Silverado,2019,800,60.0,Petrol,Automatic,First,49992,14306.37
BMW,X3,2007,2300,140.7,Petrol,Manual,Second,176514,10028.47
Hyundai,Kona,2013,800,60.0,Electric,Automatic,First,135907,5505.9
Audi,A4,2008,1600,108.8,Hybrid,Automatic,First,253506,9812.2
Toyota,Camry,2008,1100,60.1,Hybrid,Manual,First,267043,3447.91
Honda,HR-V,2010,1100,85.6,Diesel,Automatic,Third,81846,3619.38
Kia,Sportage,2021,1700,90.8,Electric,Automatic,First,46128,14261.46
Mercedes,C-Class,2009,2400,112.9,Petrol,Automatic,Third,160740,11297.57
Toyota,RAV4,2008,1400,90.4,Hybrid,Manual,First,96599,4551.23
Ford,Focus,2013,1500,102.2,Hybrid,Manual,Second,113625,6753.38
Mercedes,E-Class,2018,2200,130.5,Petrol,Automatic,First,92503,42391.95
Hyundai,Tucson,2022,800,60.0,Petrol,Manual,First,26013,12115.57
Toyota,Prius,2011,1600,83.7,Petrol,Manual,First,149921,4695.1
Mercedes,C-Class,2014,2500,131.6,Petrol,Manual,First,125022,25268.46
Hyundai,Sonata,2020,900,60.0,Petrol,Automatic,First,37476,12205.74
Toyota,Prius,2022,1800,105.7,Electric,Automatic,Second,18642,18845.03
Hyundai,Santa Fe,2017,800,60.0,Petrol,Automatic,Second,63193,6484.03
Toyota,RAV4,2014,1600,76.9,Petrol,Automatic,Second,141366,5919.63
Ford,Focus,2012,1700,110.8,Petrol,Manual,First,180559,5462.62
Ford,F-150,2019,1300,74.3,Diesel,Manual,First,47918,14545.9
Hyundai,Kona,2010,1300,94.3,Hybrid,Automatic,Second,122312,3348.06
Kia,Sorento,2005,800,60.0,Petrol,Manual,First,288057,2055.88
Hyundai,Elantra,2014,800,60.0,Petrol,Automatic,Second,71023,4860.12
Honda,Civic,2006,1100,71.9,Petrol,Automatic,First,320979,2755.23
Ford,Escape,2016,1500,69.5,Petrol,Manual,First,37963,11722.68
Ford,F-150,2009,1600,104.8,Hybrid,Manual,First,204981,4014.62
Audi,A4,2008,1800,97.6,Petrol,Automatic,First,173043,9834.89
Hyundai,Sonata,2007,900,60.0,Petrol,Manual,First,261084,2001.88
Hyundai,Elantra,2010,1000,60.0,Petrol,Automatic,First,135735,3176.34
Chevrolet,Camaro,2006,1300,71.2,Petrol,Automatic,Second,72228,4381.79
Chevrolet,Camaro,2010,1300,69.2,Petrol,Automatic,First,92203,5240.89
Audi,Q5,2018,1800,109.3,Petrol,Manual,Third,52988,24634.9
Chevrolet,Malibu,2012,1400,88.0,Petrol,Manual,First,180294,5023.43
Honda,Civic,2012,1100,67.3,Electric,Automatic,Second,123453,5738.13
Ford,Mustang,2018,1300,85.0,Petrol,Automatic,Second,43698,13009.32
Hyundai,Kona,2008,800,60.0,Diesel,Automatic,First,170794,2997.18
Mercedes,E-Class,2022,2300,120.9,Petrol,Manual,First,15677,73567.53
Chevrolet,Equinox,2007,900,60.0,Electric,Automatic,First,198407,4558.29
Mercedes,GLE,2021,2600,149.2,Hybrid,Automatic,First,19733,75394.84
BMW,M3,2008,2300,115.4,Petrol,Automatic,Second,142671,10907.18
Mercedes,E-Class,2010,2200,116.2,Petrol,Automatic,First,203601,15228.43
Hyundai,Tucson,2009,800,60.0,Diesel,Automatic,Second,209293,2149.57
Hyundai,Kona,2013,1400,92.8,Electric,Manual,First,126788,4810.03
Honda,Civic,2021,1300,60.0,Petrol,Automatic,Third,27408,11386.08
BMW,X3,2011,2100,131.9,Petrol,Automatic,Third,68704,12301.18
Hyundai,Kona,2022,900,60.0,Hybrid,Manual,First,16347,16694.56
Nissan,Altima,2009,1300,68.0,Petrol,Automatic,Second,150455,3204.77
Chevrolet,Equinox,2017,1100,67.5,Electric,Automatic,First,108902,10933.5
Ford,Focus,2014,1200,60.0,Hybrid,Automatic,Third,125408,6481.15
Audi,A6,2008,2300,132.5,Petrol,Automatic,First,236828,8826.94
Chevrolet,Traverse,2022,1000,62.2,Petrol,Automatic,First,16528,20276.16
Honda,HR-V,2009,800,60.0,Petrol,Automatic,Second,133738,3433.64
Honda,Pilot,2017,1600,93.1,Petrol,Automatic,Second,104821,8638.2
Kia,Sportage,2020,800,60.0,Petrol,Manual,First,59405,8940.27
Nissan,Pathfinder,2008,1200,64.0,Petrol,Automatic,First,224555,3031.53
Ford,Mustang,2020,900,60.0,Petrol,Automatic,First,56287,18037.55
Toyota,Highlander,2006,1900,98.0,Electric,Automatic,Second,184569,3883.65
Nissan,Pathfinder,2018,800,60.0,Electric,Manual,First,51479,11327.11
BMW,5 Series,2019,1700,105.0,Petrol,Automatic,First,48840,43708.16
Kia,Sorento,2021,1400,69.2,Hybrid,Automatic,First,27071,13058.12
Audi,Q5,2006,1700,70.0,Electric,Automatic,Second,167721,10085.14
Toyota,Highlander,2011,800,60.0,Petrol,Automatic,Second,136762,4244.09
Chevrolet,Silverado,2021,800,60.0,Hybrid,Automatic,Third,16282,14612.04
Honda,CR-V,2018,1300,74.5,Petrol,Automatic,Second,69007,9605.07
Toyota,Prius,2018,800,60.0,Petrol,Manual,First,86971,11130.17
Toyota,Camry,2006,1200,72.0,Hybrid,Automatic,First,167774,4363.23
Chevrolet,Traverse,2018,900,60.0,Petrol,Manual,Second,65391,8776.33
BMW,M3,2020,2100,119.1,Hybrid,Automatic,First,70804,47007.4
Nissan,Murano,2006,1000,60.0,Hybrid,Automatic,Third,158335,2789.18
Audi,A3,2006,1900,104.5,Diesel,Automatic,Second,265504,8666.92
Honda,Pilot,2016,1000,71.0,Hybrid,Automatic,First,108198,8903.28
Kia,Sorento,2012,800,60.0,Electric,Manual,Second,63615,4229.7
Toyota,RAV4,2018,1000,65.8,Petrol,Automatic,Second,86180,9931.32
Toyota,Camry,2011,1200,60.0,Petrol,Manual,First,201549,3816.12
Ford,Focus,2012,1500,89.3,Electric,Automatic,Second,153649,6638.38
Ford,F-150,2011,1300,84.9,Petrol,Manual,First,123714,6150.02
BMW,X3,2021,2500,150.1,Petrol,Manual,First,10859,49980.23
Honda,CR-V,2019,1400,88.6,Hybrid,Automatic,Second,18855,14124.93
Mercedes,GLC,2019,2100,101.1,Hybrid,Manual,First,78954,52181.61
Honda,CR-V,2022,900,60.0,Diesel,Manual,First,24546,17559.97
Ford,F-150,2017,1400,82.2,Electric,Automatic,First,61199,14562.62
Honda,HR-V,2017,1500,98.6,Hybrid,Automatic,First,39578,12515.23
Hyundai,Tucson,2010,800,60.0,Electric,Manual,First,159136,3222.69
Mercedes,GLC,2008,2400,134.5,Diesel,Automatic,First,215945,12866.85
Nissan,Rogue,2015,1300,75.4,Petrol,Manual,First,118894,5904.94
Audi,Q5,2009,1900,105.6,Diesel,Automatic,First,239463,9930.84
Hyundai,Elantra,2012,900,60.0,Petrol,Manual,Second,89107,3882.66
Kia,Soul,2021,1300,62.0,Petrol,Manual,Second,31643,9773.93
Kia,Optima,2021,1200,60.0,Electric,Manual,Second,56155,10810.02
Honda,HR-V,2021,1000,64.2,Petrol,Automatic,Second,19725,13168.81
Ford,Explorer,2019,1800,91.8,Petrol,Automatic,Third,63118,11472.4
Kia,Optima,2008,1000,62.9,Electric,Automatic,First,318542,2597.01
Chevrolet,Silverado,2007,1400,81.8,Diesel,Automatic,Second,145761,3919.48
Chevrolet,Malibu,2005,1600,82.4,Petrol,Automatic,First,154566,4184.72
Audi,A4,2008,1800,88.9,Hybrid,Automatic,Second,203596,9277.23
Kia,Soul,2016,1200,86.8,Hybrid,Automatic,First,149353,5218.93
Honda,Pilot,2021,1500,99.8,Electric,Manual,First,50816,16978.98
Chevrolet,Camaro,2005,1100,62.9,Petrol,Automatic,Second,264914,2878.12
Audi,A6,2013,1700,89.8,Petrol,Manual,Second,149599,12871.63
Kia,Sportage,2006,800,60.0,Diesel,Automatic,First,140627,2923.88
Honda,Civic,2018,900,60.0,Petrol,Automatic,Second,58345,9686.8
Mercedes,A-Class,2009,2400,121.4,Diesel,Automatic,Third,66414,14223.62
Audi,A3,2021,2500,146.5,Petrol,Automatic,Third,30119,33653.87
Toyota,Camry,2015,900,60.0,Petrol,Automatic,Second,136241,6615.99
Hyundai,Tucson,2021,800,60.0,Petrol,Manual,First,36268,11518.87
Honda,Civic,2021,1900,103.3,Petrol,Automatic,Second,46416,14121.59
Hyundai,Santa Fe,2015,1600,105.5,Petrol,Automatic,Second,90019,5397.3
Ford,Focus,2020,1400,82.0,Hybrid,Manual,First,55325,17335.08
Hyundai,Kona,2013,800,60.0,Petrol,Manual,First,77884,4664.65
Mercedes,GLC,2018,2500,135.1,Hybrid,Manual,Third,54138,35714.26
Nissan,Sentra,2018,1400,73.2,Petrol,Manual,First,46017,9745.92
Ford,Mustang,2016,800,60.0,Electric,Automatic,Second,78110,11959.21
Ford,Mustang,2013,1800,91.1,Hybrid,Automatic,First,132018,8135.73
Honda,Civic,2017,1500,70.1,Petrol,Automatic,First,80064,9650.9
Chevrolet,Malibu,2008,1500,78.7,Electric,Automatic,First,186822,4399.3
Hyundai,Santa Fe,2022,1300,60.0,Diesel,Automatic,First,30967,14631.95
Chevrolet,Traverse,2005,1400,60.0,Petrol,Automatic,First,240766,3623.17
BMW,X3,2009,2200,130.7,Petrol,Automatic,First,127442,12065.26
Hyundai,Sonata,2014,1100,79.0,Diesel,Automatic,Second,79649,5046.92
BMW,3 Series,2021,2300,135.9,Petrol,Manual,Second,22597,46797.56
Honda,Civic,2021,1100,60.0,Petrol,Automatic,First,41947,15239.31
Chevrolet,Camaro,2016,1200,60.1,Petrol,Automatic,First,88855,9309.55
Hyundai,Tucson,2013,1100,68.3,Electric,Automatic,Third,71487,4141.54
Nissan,Rogue,2006,1100,64.1,Petrol,Automatic,First,218224,2870.86
Chevrolet,Camaro,2015,1200,61.1,Petrol,Automatic,First,110065,8284.67
Hyundai,Santa Fe,2011,800,60.0,Petrol,Automatic,First,123800,3627.76
Toyota,Prius,2013,800,60.0,Diesel,Manual,Second,166732,4313.42
Audi,A3,2020,2400,123.6,Diesel,Automatic,First,43763,44299.47
Nissan,Rogue,2015,1300,83.0,Diesel,Manual,First,96332,6508.93
Toyota,Prius,2014,1200,68.1,Petrol,Automatic,First,148082,6299.47
Chevrolet,Equinox,2009,900,60.0,Petrol,Automatic,First,202924,3817.97
Hyundai,Santa Fe,2022,1000,76.6,Petrol,Manual,Second,12901,11751.98
Chevrolet,Malibu,2019,1500,81.5,Diesel,Automatic,Second,47134,14151.25
Mercedes,GLE,2020,2500,130.8,Diesel,Automatic,Third,41824,44512.73
Mercedes,C-Class,2008,2800,146.5,Hybrid,Automatic,Third,128538,13503.54
Kia,Sportage,2022,1100,60.0,Hybrid,Automatic,First,17433,15290.56
BMW,X5,2007,2400,130.0,Petrol,Automatic,First,168677,13567.09
Hyundai,Tucson,2008,1200,60.0,Petrol,Automatic,First,194957,2328.85
Mercedes,E-Class,2011,2600,149.1,Petrol,Automatic,Second,169221,16884.52
BMW,M3,2009,2100,124.6,Petrol,Manual,First,203631,9871.07
Toyota,Highlander,2018,1300,71.4,Petrol,Automatic,Second,54376,10583.85
Nissan,Altima,2010,1300,60.0,Petrol,Manual,First,186045,3072.43
Chevrolet,Silverado,2017,1100,60.0,Diesel,Automatic,First,55231,11947.5
Nissan,Rogue,2015,1000,60.0,Petrol,Manual,First,126045,6352.01
Nissan,Rogue,2022,900,60.0,Diesel,Automatic,First,27074,15970.46
Hyundai,Sonata,2018,1200,60.0,Hybrid,Manual,Second,37793,8842.55
Nissan,Rogue,2009,800,60.0,Hybrid,Manual,Second,113571,3380.81
Hyundai,Kona,2011,800,60.0,Diesel,Automatic,First,191626,3085.27
Mercedes,A-Class,2022,2900,145.6,Petrol,Automatic,Second,18926,67317.12
Hyundai,Kona,2006,1000,73.8,Hybrid,Automatic,First,171695,3028.38
Audi,Q7,2016,2000,112.0,Hybrid,Automatic,Second,100195,23304.9
Toyota,Camry,2019,1600,89.2,Petrol,Automatic,Second,51204,10743.69
Honda,Accord,2021,800,60.0,Hybrid,Manual,Second,6434,15312.83
Nissan,Rogue,2006,800,60.0,Petrol,Manual,First,225989,2742.22
Hyundai,Santa Fe,2012,800,60.0,Hybrid,Manual,Second,152909,3752.5
Honda,CR-V,2018,1300,67.7,Hybrid,Automatic,Third,51488,9185.24
Chevrolet,Traverse,2014,1400,64.7,Hybrid,Automatic,First,109514,8829.05
Nissan,Pathfinder,2009,1000,60.0,Petrol,Automatic,First,197475,3079.05
Mercedes,C-Class,2006,2600,131.0,Petrol,Manual,Second,203931,10750.05
Hyundai,Sonata,2010,800,60.0,Electric,Manual,Second,148797,2851.27
Chevrolet,Camaro,2015,800,60.0,Hybrid,Manual,Third,55221,7102.88
Audi,A3,2020,1900,93.3,Diesel,Automatic,Second,70557,33945.97
Honda,Civic,2019,900,60.0,Petrol,Manual,Second,62399,9538.71
Mercedes,E-Class,2013,2600,137.0,Diesel,Automatic,First,135035,25560.44
Ford,F-150,2017,1600,87.8,Hybrid,Automatic,Third,57470,10641.29
Nissan,Pathfinder,2016,1000,61.7,Diesel,Automatic,First,137086,6684.6
Toyota,Corolla,2010,800,60.0,Diesel,Manual,First,241379,3119.83
Chevrolet,Camaro,2007,1900,109.6,Petrol,Automatic,First,202099,3412.57
Hyundai,Kona,2010,1300,73.3,Petrol,Automatic,First,219094,2670.67
Nissan,Pathfinder,2005,800,60.0,Petrol,Automatic,First,252465,2569.62
Audi,A6,2020,1800,88.3,Diesel,Manual,First,42312,41205.29
Chevrolet,Equinox,2018,1100,60.0,Electric,Manual,Second,82628,11970.11
Hyundai,Kona,2013,800,60.0,Hybrid,Manual,First,114635,4948.25
Ford,Mustang,2012,1100,70.9,Electric,Automatic,Second,146353,6383.12
Audi,A4,2021,2200,119.5,Diesel,Manual,First,34186,45918.82
Chevrolet,Traverse,2005,1400,64.9,Petrol,Automatic,Second,150834,3583.47
Ford,Escape,2020,1700,96.1,Hybrid,Automatic,Third,37279,14274.92
Chevrolet,Silverado,2019,1300,68.0,Hybrid,Automatic,First,57550,15129.37
Honda,Accord,2014,1000,60.0,Petrol,Manual,First,118844,6071.93
Ford,Explorer,2021,1000,60.0,Petrol,Manual,Second,31387,15261.13
Kia,Soul,2019,1300,83.5,Diesel,Manual,First,54947,10358.54
Nissan,Altima,2014,1000,60.0,Petrol,Automatic,First,132976,6051.48
Mercedes,A-Class,2014,2300,128.2,Petrol,Automatic,Second,94232,25768.08
Ford,Escape,2013,800,79.4,Electric,Automatic,Second,100948,7565.18
BMW,X3,2017,2300,121.0,Petrol,Automatic,First,100977,28566.55
BMW,X5,2018,1700,99.4,Petrol,Automatic,First,41011,39006.07
Honda,Accord,2020,1300,74.7,Hybrid,Automatic,Second,31058,14358.91
Ford,Mustang,2011,900,60.0,Hybrid,Automatic,First,155108,6305.04
Honda,HR-V,2022,1400,76.9,Hybrid,Manual,First,26692,17692.41
Hyundai,Elantra,2015,800,60.0,Petrol,Automatic,Second,97915,5744.09
Toyota,Corolla,2010,1300,83.6,Petrol,Automatic,First,155658,4125.96
Mercedes,E-Class,2022,2600,155.1,Diesel,Automatic,First,17525,90361.31
Hyundai,Sonata,2008,1100,69.3,Petrol,Manual,First,119068,2993.9
Hyundai,Elantra,2017,800,60.0,Petrol,Automatic,First,41465,7516.62
Toyota,Highlander,2015,900,60.0,Petrol,Manual,First,95293,6897.96
Toyota,Highlander,2007,800,60.0,Electric,Manual,Third,189201,3014.03
Hyundai,Sonata,2019,1000,78.8,Petrol,Manual,Second,80784,7633.94
BMW,M3,2008,2300,124.9,Petrol,Manual,Second,148764,10314.03
Nissan,Altima,2009,1000,60.0,Electric,Manual,First,190708,3437.33
Ford,F-150,2012,1800,118.1,Hybrid,Manual,Second,69711,6082.99
Audi,A4,2020,1600,102.6,Diesel,Automatic,First,27989,50326.58
Ford,Explorer,2018,1300,71.0,Petrol,Manual,First,68604,12401.72
Honda,Pilot,2022,1200,61.5,Petrol,Manual,First,35944,16300.09
Nissan,Pathfinder,2010,1000,60.0,Diesel,Automatic,Second,116757,3675.15
Honda,Accord,2006,1800,98.5,Petrol,Automatic,First,251632,2958.82
Ford,Escape,2009,1100,60.0,Diesel,Automatic,Third,161063,3582.91
Toyota,Corolla,2017,900,60.1,Electric,Automatic,First,91942,11713.32
Ford,Mustang,2017,1100,60.0,Petrol,Manual,Second,123821,8214.55
Honda,CR-V,2014,1600,104.5,Petrol,Manual,First,100051,6210.62
Chevrolet,Camaro,2021,1300,61.4,Petrol,Automatic,Second,38353,15247.7
Mercedes,E-Class,2019,2100,117.1,Electric,Automatic,Second,37950,51250.56
Audi,A3,2022,1900,97.4,Petrol,Manual,First,19464,50721.95
Ford,Mustang,2021,1700,76.9,Diesel,Automatic,Second,51939,18683.88
Toyota,RAV4,2011,1300,66.5,Diesel,Automatic,Second,97385,5109.87
Audi,A6,2008,2200,117.0,Diesel,Automatic,First,272657,9333.54
Honda,Civic,2020,1600,84.9,Petrol,Automatic,Second,40531,12854.04
Honda,Accord,2022,1100,66.4,Petrol,Automatic,Second,28281,15980.35
Honda,Accord,2021,1000,64.7,Hybrid,Automatic,Third,37298,13292.89
Ford,Mustang,2005,1100,60.0,Petrol,Automatic,Third,191331,3403.86
Kia,Sportage,2021,1600,77.6,Petrol,Automatic,Second,37253,10378.38
Toyota,RAV4,2013,1100,60.0,Petrol,Manual,First,170320,5240.87
Toyota,Camry,2021,1600,90.5,Petrol,Automatic,First,51964,16124.51
Ford,Explorer,2016,1400,87.8,Diesel,Manual,First,92784,10727.67
Audi,A4,2016,2300,117.6,Petrol,Manual,Second,66417,21193.58
Ford,F-150,2007,1900,84.0,Diesel,Automatic,Second,134290,4869.52
Hyundai,Sonata,2018,1300,63.2,Electric,Manual,First,49949,9614.77
Toyota,Corolla,2020,1000,60.0,Petrol,Manual,Second,46660,12391.47
Mercedes,E-Class,2016,2600,129.2,Electric,Automatic,First,120228,39010.38
Hyundai,Elantra,2022,900,60.0,Petrol,Automatic,Second,24681,12233.75
BMW,3 Series,2012,2400,131.3,Petrol,Automatic,First,129390,18343.4
Hyundai,Sonata,2011,1100,61.1,Diesel,Automatic,First,190195,3318.96
Nissan,Sentra,2022,1200,63.6,Hybrid,Manual,First,25529,17691.22
Chevrolet,Silverado,2015,1700,108.4,Diesel,Automatic,First,87525,8933.43
Hyundai,Sonata,2011,1500,79.0,Diesel,Automatic,Second,125918,3287.39
Ford,F-150,2013,1200,60.0,Diesel,Automatic,First,142204,7285.14
Honda,Civic,2022,1200,66.7,Diesel,Automatic,Second,16882,16654.64
Nissan,Murano,2022,800,60.0,Petrol,Automatic,First,31236,15578.34
Chevrolet,Silverado,2005,1000,60.0,Diesel,Automatic,First,162439,4251.35
Hyundai,Kona,2022,1000,63.2,Petrol,Automatic,Second,14659,13170.59
BMW,3 Series,2019,2000,97.9,Electric,Automatic,Second,54428,46160.38
Honda,Accord,2007,1000,61.1,Petrol,Automatic,Second,145224,3419.34
Honda,Civic,2010,1300,72.5,Petrol,Automatic,Second,113965,4180.01
Toyota,Camry,2012,1100,60.0,Petrol,Manual,First,147246,5346.12
Ford,F-150,2011,1600,86.7,Hybrid,Automatic,Second,159715,5051.56
Toyota,Highlander,2010,1700,106.0,Petrol,Automatic,Second,190358,3436.03
BMW,X5,2009,2300,150.7,Petrol,Automatic,Second,229803,8421.0
BMW,M3,2009,2500,133.7,Petrol,Automatic,First,184452,12220.2
Honda,Accord,2007,1300,90.7,Diesel,Automatic,First,152054,3694.98
Ford,Mustang,2020,1400,84.3,Petrol,Manual,Second,26110,14092.52
Kia,Stinger,2021,1100,60.0,Hybrid,Manual,Third,21390,9933.36
Honda,HR-V,2017,1500,88.0,Petrol,Automatic,First,79259,10007.02
BMW,X5,2016,2500,156.6,Petrol,Manual,Second,89829,24456.59
Kia,Sportage,2006,1400,86.9,Electric,Manual,First,170218,3154.93
Toyota,RAV4,2021,800,60.0,Petrol,Automatic,Third,31796,12401.4
Ford,Explorer,2020,1500,74.4,Petrol,Manual,First,26991,17265.1
Chevrolet,Camaro,2020,1400,76.3,Petrol,Automatic,First,45777,16354.17
Chevrolet,Equinox,2005,1100,60.0,Electric,Automatic,Third,158205,3396.48
Chevrolet,Camaro,2009,1400,71.4,Hybrid,Automatic,Second,153834,4177.46
Mercedes,E-Class,2010,2500,130.7,Hybrid,Manual,First,213975,14727.0
Audi,A4,2005,2100,110.0,Petrol,Manual,Second,125154,9500.2
Toyota,RAV4,2010,1300,71.8,Diesel,Automatic,First,268944,3493.32
Honda,Civic,2005,1300,73.2,Petrol,Automatic,First,277550,2873.56
Audi,A3,2009,2400,107.3,Diesel,Manual,Second,188004,8711.06
Kia,Sorento,2021,800,60.0,Petrol,Manual,Second,33148,9816.02
Hyundai,Elantra,2014,800,60.0,Petrol,Automatic,First,131863,5044.8
Ford,F-150,2010,1500,71.9,Petrol,Manual,First,172992,4201.65
Chevrolet,Silverado,2022,800,60.0,Petrol,Manual,First,13569,18536.87
Chevrolet,Traverse,2011,1900,115.0,Petrol,Manual,First,201809,3964.95
Hyundai,Santa Fe,2005,800,60.0,Petrol,Automatic,First,257142,2269.22
Honda,Accord,2007,1700,95.0,Hybrid,Automatic,First,211960,3546.02
Audi,Q7,2019,2200,126.3,Hybrid,Automatic,First,44480,42459.55
Hyundai,Kona,2010,1400,77.8,Petrol,Automatic,First,105910,3413.82
Audi,A6,2019,2200,113.6,Petrol,Automatic,First,42135,38522.88
Audi,A6,2008,2000,107.8,Diesel,Automatic,Second,159305,9670.19
Audi,A3,2017,2000,105.9,Diesel,Automatic,First,74499,32626.96
Mercedes,GLC,2009,2300,134.5,Diesel,Automatic,Second,185763,13818.75
Hyundai,Kona,2021,800,60.0,Diesel,Manual,Third,28526,8668.74
Ford,Focus,2017,1600,93.5,Diesel,Automatic,First,64953,13826.0
Kia,Sportage,2012,800,60.0,Petrol,Automatic,First,227519,2811.89
Chevrolet,Silverado,2005,1700,89.4,Petrol,Automatic,First,348003,3298.37
Toyota,Camry,2014,1400,87.2,Electric,Automatic,Second,115438,8041.1
Audi,Q5,2008,2100,123.6,Petrol,Manual,First,197174,9940.23
Honda,Civic,2011,1200,60.0,Diesel,Automatic,Third,99745,3885.54
Honda,Accord,2016,900,60.0,Petrol,Manual,First,131364,7394.36
Hyundai,Tucson,2010,800,60.0,Hybrid,Automatic,First,131527,3526.24
Hyundai,Kona,2018,1000,60.0,Diesel,Automatic,First,79178,8943.63
BMW,X3,2014,2000,99.5,Diesel,Automatic,Second,114579,19184.84
Honda,Civic,2014,1000,60.0,Petrol,Automatic,Second,75997,6489.9
BMW,M3,2014,1800,90.5,Electric,Automatic,First,123385,27239.76
Honda,Pilot,2020,1100,60.0,Petrol,Automatic,Second,27298,13389.96
Hyundai,Elantra,2006,800,60.0,Petrol,Manual,Second,205841,2221.23
BMW,5 Series,2021,2000,115.5,Hybrid,Manual,First,32991,55602.68
Toyota,Prius,2008,1200,60.0,Hybrid,Automatic,Second,125206,3912.8
BMW,M3,2016,2300,138.8,Petrol,Manual,First,126188,23675.82
Honda,Accord,2009,1000,60.0,Diesel,Manual,First,147597,3407.77
Hyundai,Tucson,2022,1200,64.9,Petrol,Manual,First,30106,12402.07
Mercedes,C-Class,2017,3100,179.3,Diesel,Automatic,First,88005,39969.77
Hyundai,Kona,2022,1000,60.0,Petrol,Automatic,First,15120,13289.14
Ford,Escape,2013,1600,92.5,Electric,Manual,First,176199,7106.08
BMW,X5,2007,2700,121.6,Petrol,Automatic,Third,167381,9295.98
Honda,Accord,2016,1200,66.8,Diesel,Manual,First,115850,7548.43
Chevrolet,Traverse,2021,800,60.0,Petrol,Manual,Third,37838,11691.95
Audi,Q5,2018,1900,104.8,Petrol,Automatic,First,85889,31468.39
Audi,A4,2022,2100,112.6,Petrol,Automatic,Second,20651,42650.09
Hyundai,Santa Fe,2022,1400,64.8,Petrol,Automatic,First,18308,13942.49
Toyota,Camry,2016,1800,107.6,Petrol,Automatic,Second,91735,7905.13
Chevrolet,Equinox,2007,800,60.0,Hybrid,Automatic,First,230888,3967.52
Nissan,Murano,2018,1000,68.9,Petrol,Automatic,Second,72261,9170.65
Hyundai,Tucson,2009,800,60.0,Petrol,Manual,First,121641,2657.48
Mercedes,GLE,2017,2600,153.5,Hybrid,Manual,First,62106,42423.99
Kia,Stinger,2012,1200,68.6,Petrol,Manual,Second,95837,3427.7
Nissan,Altima,2005,1500,90.9,Petrol,Automatic,First,246137,2682.87
Nissan,Rogue,2012,1000,65.4,Hybrid,Manual,First,124812,4899.07
Toyota,Camry,2005,1100,60.0,Electric,Automatic,Second,195731,3696.23
Audi,A6,2007,2000,120.0,Diesel,Manual,Third,156630,8330.8
Kia,Sorento,2022,800,60.0,Electric,Automatic,First,13544,15835.56
Toyota,Camry,2007,800,60.0,Diesel,Automatic,Second,237034,2977.95
Chevrolet,Camaro,2016,1300,75.4,Diesel,Manual,Second,84782,8324.75
Honda,CR-V,2008,1000,60.0,Diesel,Automatic,First,152995,3830.35
Ford,Focus,2021,1300,66.5,Diesel,Automatic,Third,23934,15338.79
Chevrolet,Camaro,2018,1100,60.0,Petrol,Automatic,Second,51706,10852.88
Toyota,Prius,2006,800,60.0,Petrol,Manual,First,161036,3717.61
Audi,Q5,2011,2400,125.3,Electric,Manual,First,154993,14423.93
Audi,Q7,2014,1800,100.2,Electric,Manual,Second,154816,17867.16
Honda,Accord,2006,800,60.0,Petrol,Automatic,Second,163763,2870.9
BMW,X3,2019,2700,137.6,Diesel,Automatic,First,42392,50932.26
Honda,Pilot,2020,800,60.0,Petrol,Automatic,First,54854,13760.49
Toyota,Corolla,2017,1500,89.3,Diesel,Automatic,Second,51425,10700.96
Kia,Optima,2021,1600,86.7,Hybrid,Automatic,First,30308,13805.15
BMW,X3,2013,2200,115.5,Petrol,Automatic,Second,100278,17290.38
Ford,F-150,2019,1500,82.6,Electric,Automatic,Second,47852,17490.56
Honda,Pilot,2014,1400,81.6,Petrol,Automatic,First,80578,6966.34
Honda,Pilot,2007,1400,66.4,Petrol,Manual,Second,189011,2817.82
BMW,3 Series,2021,2100,113.2,Diesel,Automatic,Third,26109,45104.12
Ford,Mustang,2011,1800,89.5,Diesel,Automatic,First,127186,6193.23
Ford,Escape,2013,1600,104.4,Diesel,Manual,Second,111976,6245.44
Audi,A4,2007,1900,115.6,Petrol,Automatic,Second,161797,9689.42
Mercedes,A-Class,2019,2500,127.6,Petrol,Manual,First,53600,47714.62
Honda,Civic,2020,900,60.0,Diesel,Automatic,First,42806,14581.12
Audi,A4,2006,1800,108.6,Petrol,Automatic,Second,216012,7668.56
Audi,Q5,2013,1700,104.7,Diesel,Automatic,First,170430,15544.01
Ford,Mustang,2013,1000,60.0,Diesel,Automatic,First,120226,7639.63
Nissan,Murano,2021,1200,60.0,Petrol,Automatic,First,20520,13779.79
Ford,Escape,2017,1800,116.8,Diesel,Automatic,First,115864,12943.83
Honda,Civic,2021,1200,69.7,Petrol,Automatic,Third,10032,12564.26
Mercedes,C-Class,2017,2200,113.8,Diesel,Manual,Second,71064,33213.79
Toyota,Highlander,2008,1200,76.4,Diesel,Automatic,Second,199418,3419.65
Kia,Sorento,2018,1000,60.0,Hybrid,Automatic,First,106692,7767.15
Ford,Focus,2006,1300,66.2,Petrol,Automatic,First,240761,3555.61
Audi,A3,2019,2100,118.4,Petrol,Automatic,First,69506,32490.27
Hyundai,Tucson,2010,800,60.0,Petrol,Automatic,Second,199396,2556.24
Toyota,Highlander,2011,1400,95.2,Petrol,Automatic,First,84960,5446.17
Toyota,Prius,2019,1300,70.4,Petrol,Manual,First,43949,13960.37
